ID,HIDDENCHANNELS,DROPOUT,LR,EPOCHS
2,70,0.08771463702174512,0.023909984349657163,87
3,78,0.17089908459507455,0.002164337664743966,119
4,109,0.15427066413586465,0.014457222082312092,60
5,92,0.23220172572139772,0.018874602320454223,88
6,62,0.1689678778820555,0.09108118252012605,147
7,39,0.07708065861714057,0.013860392303545807,160
8,78,0.27816705745551595,0.02889225703146642,149
9,54,0.13047599386576572,0.04493925267247776,115
10,88,0.31660484792658156,0.0020607109666876846,154
11,99,0.2521749576020326,0.0016836053687347885,128
12,32,0.4719316262116522,0.011933901442332457,90
13,95,0.21681427062431397,0.02467225301827043,175
17,78,0.2900086805246637,0.0018920680895238334,199
18,89,0.12601160287182786,0.02919515900682125,75
19,122,0.10842508586950154,0.025503609549275403,98
20,91,0.23898106740968517,0.022142705548545083,103
21,95,0.278348109166473,0.0036672897658967733,73
22,102,0.2191477594904779,0.09320255889538588,154
23,86,0.11515278227595897,0.03974893513035328,92
25,123,0.026081945089683867,0.08289934896776252,149
26,48,0.36781964468426676,0.027846122388229925,200
28,11,0.2513066444474805,0.007812234705258116,147
29,79,0.11585692676200762,0.022999281943963328,177
30,28,0.05388833449125813,0.00452962456329821,167
33,92,0.10550188287366477,0.003127376901470929,143
34,110,0.4047649834583622,0.008334794119626688,200
35,89,0.24958071526579925,0.01648410765307925,97
36,43,0.006159964288450684,0.07313262622035129,195
38,78,0.38885440404658544,0.0016229200043867379,87
39,97,0.46597739493924983,0.014689012859598949,148
40,128,0.2541849236669281,0.0641891484936375,153
41,89,0.4086297944866537,0.04458695442675885,101
43,86,0.21262504366749874,0.0025642112504224612,165
44,103,0.1405167104967344,0.0020342658478936762,70
45,124,0.02227750843700117,0.04389413047141539,159
46,112,0.22103418659878027,0.018747131831679056,163
47,81,0.26785055778537803,0.005608353465992,95
48,96,0.0718436757699975,0.008861795401301944,182
49,97,0.27099345222303184,0.002046870787348742,184
50,106,0.09240209042850994,0.0020739730058748555,97
51,57,0.5811187562735397,0.0050254643016614245,146
52,49,0.017718489693559367,0.06995737521430423,103
53,88,0.03518163072669707,0.014058199974639527,92
54,103,0.23605373258150134,0.0025992303133575115,72
55,85,0.46487759705932286,0.00848638875730404,196
56,128,0.44049402527850323,0.006865650567011527,95
57,58,0.26805314592313045,0.0015660564697153204,174
58,66,0.20779297203059122,0.0026607694013195873,191
59,40,0.19874340269083354,0.07891058687185629,115
60,109,0.29991753717504727,0.047016250721093215,55
61,104,0.34131438049618273,0.03672760222854832,109
62,96,0.6794718552681689,0.030554011507237626,100
67,86,0.4714165725004595,0.00151318233148329,90
68,99,0.024611339888560624,0.09714726464343017,110
69,72,0.5874479031039727,0.006892478791219913,187
71,123,0.206282668845619,0.004846896441068295,118
72,104,0.3880510238155386,0.017388801291531666,66
73,100,0.417233155771062,0.0018073955363047697,80
74,92,0.0011837103463835374,0.0105793703772754,153
75,126,0.4181773805957811,0.0011613620455677477,84
76,73,0.39897988321234856,0.02855910299944291,59
77,97,0.011238555200201727,0.0012812313269193955,198
78,53,0.04760528728220491,0.0163573815397214,134
79,80,0.44842353493010734,0.0034735342393724883,139
80,13,0.2279143881607175,0.005474736700490939,172
81,51,0.3013889346041795,0.0035680929983713918,200
82,94,0.43774976611346805,0.0016313558020987658,96
83,88,0.48250912352945496,0.02096460965754448,75
84,71,0.38390668370542824,0.010427969708296535,145
86,98,0.6894500122090953,0.0018907063067193997,67
87,65,0.3805900054021217,0.006602914138935728,175
88,109,0.20390622984075416,0.02845133526330708,186
