ID,NAME,LATITUDE,LONGITUDE
1,MUSEROS,39.56157684199353,-0.34085556813197027
2,Á. GIMERÁ,39.469891380764906,-0.38678046582497916
3,Á. GIMERÁ,39.46969138066572,-0.3848934633087676
4,ARAGÓN,39.472948462539804,-0.3591059907922196
5,ARAGÓN,39.472790507522305,-0.3591846517869494
6,AV. DEL CID,39.46817104551758,-0.3976203568668638
7,CAMPANAR - LA FE,39.48455468798771,-0.3947573707605449
8,MISLATA - ALMASSIL,39.47582838999347,-0.42376034664602213
9,MISLATA,39.474023652671455,-0.41813497502341096
10,NOU D'OCTUBRE,39.471073300754476,-0.4085908527162219
11,NOU D'OCTUBRE,39.471250387699975,-0.4085069095438804
12,PALMARET,39.49576459415243,-0.3552060533377149
13,PL. ESPANYA,39.46620247730024,-0.38157177623086064
14,FIRA VALENCIA,39.50434510693245,-0.42506864553890766
15,SAGUNT,39.48649978537059,-0.3749722241827055
16,REUS,39.48617935068423,-0.379147231475554
17,ARAGÓN,39.472191257952524,-0.3576184450363335
18,BAILÓN,39.462442533321486,-0.37982815991546465
19,BAILÓN,39.463161501891385,-0.37961669470928994
20,TÚRIA,39.47917855088537,-0.3907874416317923
21,XÀTIVA,39.46749135269451,-0.3759854820376232
22,MASSALAVÉS,39.143806456525716,-0.5187610985723993
23,BÉTERA,39.59060668859224,-0.4575305580540359
24,BENIMÀMET,39.501876829949666,-0.4194111224319647
25,BENIMACLET,39.48494305587527,-0.36261511837298493
26,FACULTATS,39.478591255873816,-0.3620694072596213
27,ALAMEDA,39.47259129464475,-0.3666304410996474
28,ALAMEDA,39.47325933101746,-0.36519640408577575
29,ALAMEDA,39.47289129036754,-0.36688944543348145
30,PALAU DE CONGRESSOS,39.497180938206284,-0.4001416568645671
31,LA MARINA,39.472854613277526,-0.3275833424754828
32,ORRIOLS,39.493148802958515,-0.36766362131509717
33,GRAU - CANYAMELAR,39.463100432711826,-0.3294720058812783
34,MEDITERRANI,39.46738433730911,-0.32730278410291314
35,BURJASSOT,39.50841522112243,-0.40673610578480346
36,ROCAFORT,39.52870941065306,-0.4075777832181904
37,MONCADA - ALFARA,39.54352950984976,-0.3884611131170159
38,PICANYA,39.43312072664251,-0.4371583458063354
39,PAIPORTA,39.432262419829286,-0.41806110771068344
40,BENIMODO,39.21629333448216,-0.5196194646182591
41,ESPIOCA,39.32188415400876,-0.4667472243930674
42,CAMPAMENT,39.495845793647185,-0.4353229994706807
43,ENTREPINS,39.543334960253965,-0.5139539834128501
44,L'ELIANA,39.561832427267376,-0.5359194275246981
45,LA POBLA DE VALLBONA,39.58276367059588,-0.5622777935409613
46,BENAGUASIL 1R,39.59272384512828,-0.5780805353111503
47,BENAGUASIL 2N,39.59888076714581,-0.5839277511532002
48,LA PRESA,39.51722335691722,-0.5158333184334809
49,ROSAS,39.492649077197136,-0.4672361014917919
50,SALT DE L'AIGUA,39.48483276281572,-0.45056819956151195
51,LA POBLA DE FARNALS,39.579418181104316,-0.3304361101364986
52,Á. GIMERÁ,39.47071595518594,-0.3852036608650541
53,AMISTAT,39.470149409805245,-0.349805618906167
54,AYORA,39.466316530656464,-0.3428973365125572
55,NOU D'OCTUBRE,39.4707196968919,-0.40624272779583426
56,EMPALME-2,39.500591229889515,-0.4035140642371054
57,MARXALENES,39.48854064826098,-0.384402781578916
58,BAILÓN,39.46387732970273,-0.3790758588440543
59,COLÓN,39.470271514700045,-0.370807808289511
60,VILLANUEVA DE CASTELLÓN,39.08400726200719,-0.5160138606747439
