NODEID,PRICE,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,HASPARKINGSPACE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,FLOORCLEAN,CADMAXBUILDINGFLOOR,CADASTRALQUALITYID,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_BLASCO,LONGITUDE,LATITUDE,ANTIQUITY,NEIGHBOURID
249,154000,0.0596846846846846,0.0246913580246913,0.0833333333333333,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.2727272727272727,0.4444444444444444,0,0,1,0.3393757470074517,0.1506968888013431,0.4192660711979733,-0.360698093709487,39.4575998000231,0.1334894613583138,69
251,161000,0.0371621621621621,0.0246913580246913,0.0833333333333333,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,0.2727272727272727,0.3333333333333333,0,0,1,0.3285386402702155,0.1201039753516287,0.4466564208809072,-0.362770579876999,39.4568810992405,0.117096018735363,69
261,111000,0.0945945945945945,0.037037037037037,0.1666666666666666,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1.0,0.4545454545454546,0.4444444444444444,0,0,1,0.3900279383371365,0.3230232698733159,0.5926574381297788,-0.36737676559959,39.4512198946016,0.0866510538641686,69
262,68000,0.1137387387387387,0.0493827160493827,0.1666666666666666,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.3333333333333333,0.1212121212121212,0.4444444444444444,0,0,1,0.4176356390964921,0.3148361843835399,0.635292198060256,-0.368395951244025,39.4494592312405,0.0960187353629976,69
267,171000,0.0743243243243243,0.037037037037037,0.1666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.303030303030303,0.5555555555555556,0,0,1,0.3631143869232525,0.1899149176248161,0.4494143411869891,-0.36045232934855,39.456107767977,0.0468384074941451,69
6154,153000,0.0563063063063063,0.0246913580246913,0.0833333333333333,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.6666666666666666,0.2727272727272727,0.4444444444444444,0,0,1,0.3419422571901733,0.1567012608513589,0.4186155859146453,-0.360489770227386,39.4575770513231,0.1334894613583138,69
6166,121000,0.0833333333333333,0.037037037037037,0.1666666666666666,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1666666666666666,0.0909090909090909,0.2222222222222222,0,0,1,0.3220334729253962,0.1512006644888841,0.495435591305861,-0.366076041265413,39.455514650312,0.018735362997658,69
6203,161000,0.0743243243243243,0.0246913580246913,0.0833333333333333,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0.1666666666666666,0.2121212121212121,0.3333333333333333,0,0,1,0.3347597372472483,0.1392700078958087,0.4216680749100985,-0.361128052985441,39.4576005546158,0.1124121779859484,69
6219,186000,0.1306306306306306,0.0493827160493827,0.1666666666666666,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0.1666666666666666,0.2424242424242424,0.4444444444444444,0,0,1,0.3243614726432315,0.1700921269451902,0.5072363743469204,-0.366683475143707,39.4551230188373,0.0562060889929742,69
6234,109000,0.081081081081081,0.037037037037037,0.0833333333333333,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.2424242424242424,0.3333333333333333,0,0,1,0.325719290915374,0.1189359565100002,0.4599042470526835,-0.363655692416764,39.4565228110314,0.1217798594847775,69
