NODEID,PRICE,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,HASPARKINGSPACE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,FLOORCLEAN,CADMAXBUILDINGFLOOR,CADASTRALQUALITYID,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_BLASCO,LONGITUDE,LATITUDE,ANTIQUITY,NEIGHBOURID
277,244000,0.1148648648648648,0.037037037037037,0.1666666666666666,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0.25,0.0909090909090909,0.5555555555555556,0,0,1,0.7777826995354999,0.56541720872781,0.1992148596000478,-0.325867701044319,39.4755417539575,0.0140515222482435,47
278,98000,0.0619369369369369,0.037037037037037,0.0833333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1818181818181818,0.1111111111111111,0,0,1,0.7595299962058476,0.6924767084613025,0.2785839987046251,-0.329031880996678,39.4818575696322,0.1358313817330211,47
279,213000,0.0855855855855855,0.037037037037037,0.1666666666666666,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0.4999999999999999,0.1515151515151515,0.5555555555555556,0,0,1,0.7587601050586064,0.6663305356351313,0.2596604680914787,-0.328632891929545,39.4807403255604,0.0351288056206089,47
280,122000,0.0461711711711711,0.0123456790123456,0.0833333333333333,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.4166666666666666,0.1515151515151515,0.3333333333333333,0,0,1,0.7872110285971899,0.7464419305769959,0.3067649361820638,-0.327455018802387,39.482659123328,0.0889929742388758,47
8973,128000,0.0675675675675675,0.037037037037037,0.0833333333333333,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.4999999999999999,0.2727272727272727,0.3333333333333333,0,0,1,0.7168261122265679,0.4897951479442137,0.1486555770665145,-0.329925810241103,39.4755089478916,0.1241217798594847,47
9060,245000,0.134009009009009,0.037037037037037,0.25,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0.1666666666666666,0.1818181818181818,0.4444444444444444,0,0,1,0.749155527928199,0.7113230536797481,0.296080919235022,-0.330353559286354,39.4831671803183,0.0983606557377049,47
9061,83000,0.0686936936936936,0.0246913580246913,0.0833333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.1212121212121212,0.2222222222222222,0,0,1,0.75725453682337,0.6329817058287668,0.2343413131893836,-0.328212510377384,39.479271248196,0.1405152224824356,47
9062,66000,0.0461711711711711,0.037037037037037,0.0833333333333333,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.1212121212121212,0.1111111111111111,0,0,1,0.7351733897142121,0.5912715865409918,0.2138410365233183,-0.329556210868309,39.4787886387879,0.1405152224824356,47
9063,86000,0.063063063063063,0.037037037037037,0.0833333333333333,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.3333333333333333,0.1818181818181818,0.3333333333333333,0,0,1,0.8088682935686395,0.7902737394819475,0.3297468155993355,-0.326254294445081,39.4833521975283,0.117096018735363,47
9064,80000,0.0686936936936936,0.0246913580246913,0.0833333333333333,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3333333333333333,0.1212121212121212,0.2222222222222222,0,0,1,0.7899957735961257,0.7707973559294258,0.3233191454233415,-0.32768666204344,39.4835923483202,0.1615925058548009,47
