source,target,DISTANCE
161,347,0.049526714336533786
275,373,0.041934630619404875
60,221,0.048115391952563466
71,110,0.016236286460770622
3,308,0.03133556537191178
48,71,0.047156480410827935
40,360,0.03345304001239015
18,90,0.04577602371219107
100,159,0.031404310486981904
41,209,0.018458478902590003
52,236,0.03301039561516663
289,319,0.01629693211356354
31,292,0.041047081304355026
179,217,0.04821500189303926
291,340,0.034793416090631454
215,371,0.03683653015213451
54,353,0.03113208244428917
68,186,0.04071938790407716
61,312,0.03383515376678747
53,195,0.04380443607296087
141,248,0.015150728002747825
156,277,0.019198282168525562
292,348,0.03231369230726028
129,333,0.012790105832298195
199,309,0.0332697490181482
102,289,0.032289612927579175
49,104,0.032544065849941774
46,253,0.047794976185169806
325,347,0.030932452874232446
2,298,0.02405768539445
22,117,0.031104525790905623
272,276,0.02402748367257657
50,138,0.017498770217239713
31,303,0.02677909061521144
32,333,0.04467552524779297
64,186,0.016953935566516184
150,321,0.0340326014711816
65,67,0.0308858922578974
115,369,0.0418201906855306
231,256,0.006089713926074732
67,284,0.04946829554280371
18,67,0.04639807819003804
148,360,0.036760708751063
52,360,0.017999158609019572
41,210,0.03947581388822475
117,281,0.031813782597090785
260,360,0.03789890065655492
65,76,0.04385926391721226
314,329,0.04842441807145506
138,144,0.039452547846084374
255,272,0.03825451561998038
45,72,0.03059938280470942
67,163,0.04389439483731413
96,172,0.005652185214569966
106,187,0.00671087637942783
83,245,0.026843546433444793
102,267,0.04234893377530944
304,330,0.0389300610681063
171,372,0.037523033060692546
24,236,0.004113135900199871
14,35,0.04334395251307374
20,369,0.023792942474813394
34,344,0.0369535886282185
43,312,0.011016026465747245
237,299,0.043831949836187246
325,352,0.04980116629923876
59,138,0.046923671241811155
274,323,0.012180354476857502
152,344,0.04591366116017539
34,347,0.049233740110660146
191,349,0.039519248987564926
246,344,0.003164871737512285
8,302,0.026399037760471734
26,282,0.04392613395669025
280,306,0.03252507056070172
320,324,0.030333540701338146
148,174,0.00946560306171299
81,310,0.026052365092827167
8,12,0.049292671546250416
284,352,0.022825261186784056
15,237,0.03951925800284048
96,344,0.03312795663553605
193,304,0.03656466896083065
214,246,0.04706064243204915
95,113,0.037790650745339466
366,368,0.04529451642766017
81,248,0.03894627874262017
153,253,0.0429558005788711
131,268,0.017498764950782338
53,214,0.04940777843089644
84,241,0.0066960311809940365
37,152,0.029435809326529862
208,295,0.03798626851427061
183,259,0.026189298335066283
138,278,0.04122356270730753
107,253,0.020631443918376822
10,146,0.037505944601628205
230,360,0.04410139933991023
26,162,0.027307884717282443
178,265,0.041548117856708776
219,346,0.03549222050159286
244,299,0.039030588772012494
150,215,0.03161290289561373
199,216,0.014133791126863254
143,232,0.026274735888140725
51,365,0.024547457401699894
47,279,0.0254473946025836
41,43,0.047044688715329165
111,278,0.014854489174983375
245,265,0.014327571402110304
177,364,0.04315854091522708
277,293,0.0408367155016298
79,338,0.025900294241589145
49,294,0.03723899733299136
57,279,0.008928054519419745
331,364,0.030450961898979476
0,262,0.036124184499879815
133,332,0.0466573516816152
48,62,0.02544090397690068
212,219,0.037561202688294694
93,366,0.04877686581475805
102,319,0.04807253973072846
316,358,0.029164553107414434
197,278,0.04180409502591537
32,167,0.048863926340133756
69,122,0.02194725539047843
116,328,0.04744191333438695
262,264,0.019976887026260316
92,309,0.04441962236310177
87,238,0.02505231204511717
198,325,0.026345225590201984
252,348,0.04063302907945049
10,307,0.021394512919684736
106,276,0.035450388879181206
1,226,0.03706102989828332
86,266,0.0345619761278211
89,326,0.04654027653881028
73,143,0.03864028875110492
11,302,0.04966640335521569
185,252,0.04948247420444516
43,186,0.047140423595422684
13,302,0.03725032398181181
184,321,0.029985222202439318
141,176,0.025647226193594903
176,231,0.02839722921088375
108,153,0.04804351564075406
159,170,0.03297103646601305
89,296,0.04165923133908401
63,65,0.03482377886238479
20,365,0.046918082962984664
154,279,0.024971153857657993
43,158,0.03185932707264055
47,154,0.004998697455140501
164,218,0.013054700152530954
106,261,0.043116741539592524
41,273,0.031698929480067285
236,260,0.041886203062292245
72,301,0.028123017705728396
26,76,0.013016777624798062
22,58,0.015265704335147864
247,336,0.030393073889240122
304,364,0.023717046747691824
320,359,0.016143856960816053
91,186,0.042024685976804976
27,62,0.04687008565704429
77,233,0.03313612774098979
112,339,0.037115530383863546
31,57,0.04026522190934038
50,278,0.02402748342888084
191,288,0.003164875004222863
65,195,0.029053387606340093
145,155,0.03946064243403209
297,339,0.036690266496426135
30,76,0.032821857634144774
270,324,0.022831429178332054
