source,target,DISTANCE
11,144,0.0070795844091005745
36,170,0.029709676369662666
119,167,0.04496336678440966
108,163,0.01344010483206228
131,146,0.022865175666267005
23,66,0.04476654521049356
0,116,0.034632952440530565
61,135,0.0381099987704776
93,139,0.047045670115173244
152,170,0.03420265296314075
5,53,0.009196073575648995
40,135,0.02250604841144083
82,114,0.05210030033246949
15,144,0.027164645318113897
54,141,0.038935018572585876
49,102,0.024452428692856035
63,143,0.002002632826121266
88,152,0.025512027783468824
115,150,0.046954331212808585
27,167,0.013570562968484837
17,35,0.023854345460829714
101,144,0.0386835764730538
11,12,0.010777720824960325
19,120,0.014574134725202009
49,86,0.04740517027840385
154,170,0.04696145217374324
154,156,0.024377121927364267
106,161,0.04990546884262849
1,10,0.04119650273682731
19,21,0.03676181718728014
37,64,0.02879271942975871
111,116,0.04481598603409157
105,173,0.014134125476671061
105,158,0.029980851607215742
57,106,0.04117246651335919
89,173,0.0438329123605315
32,115,0.011644165734898236
94,105,0.015240876865387044
0,8,0.04247121461815371
79,93,0.016238053662950076
17,78,0.03060870248774841
12,104,0.02020230398807179
19,108,0.04083145975407601
78,108,0.049527524402917515
47,146,0.02061227030206762
62,63,0.031405142925512615
0,53,0.024611715019518556
21,93,0.015238613930996158
53,141,0.03636011697716816
23,126,0.0486448288324578
96,155,0.044805855782803286
28,65,0.025112557279190463
151,173,0.024115697968594595
20,32,0.04689028804108624
118,137,0.040985671169802146
86,116,0.047526726946753604
63,101,0.01002353850007563
44,75,0.04927232063481473
17,108,0.04378785033279736
80,93,0.02829794505530101
25,75,0.02884377197056542
33,81,0.029667963564051186
9,50,0.036060886975308674
24,71,0.04541442814091048
76,97,0.012031963350841762
38,69,0.0261545078779539
124,147,0.02745355358126097
10,144,0.03810222465336038
2,170,0.04556639960397629
3,149,0.005105171315041838
66,158,0.04915411052773234
44,77,0.03267626833477175
19,22,0.041859224621160464
12,60,0.019259525473137515
35,108,0.0235651134707781
90,155,0.00949617689663323
74,136,0.029474172641331176
84,110,0.04839443883901644
79,120,0.02593025991795389
111,129,0.02426927268644749
119,158,0.023859328512313913
19,79,0.03303787743915275
102,127,0.01001314897455613
15,143,0.019668782114981666
5,161,0.04125705950573071
86,111,0.007210951907530611
93,131,0.04825779950498697
38,68,0.024939239658505804
52,55,0.046446179914074404
9,106,0.01839214444766544
8,57,0.013422086739832112
36,131,0.02595671344614638
1,115,0.029911542100186674
30,145,0.03456849827384806
26,27,0.01079979594657468
33,161,0.04790806379101772
78,165,0.037465003275705094
1,32,0.041520340518049356
100,116,0.03587517474371565
80,120,0.03482464250449438
50,161,0.047346399394551306
