source,target,DISTANCE
41,78,0.021786487732538953
41,57,0.03321918468954958
26,62,0.02191603036292197
33,45,0.018369689160658925
24,50,0.042078435750617094
27,37,0.04528419785108367
15,37,0.04800180326937291
22,51,0.0191845209814978
37,62,0.008478317689034323
43,55,0.021038240486377372
9,84,0.048319004356144606
9,24,0.01749880234106627
51,55,0.045255964457522155
18,75,0.013119049254213
6,52,0.03739842957892187
66,76,0.015621210703542708
25,29,0.04545237841079486
28,59,0.028659924857016735
11,75,0.006330645048062859
53,62,0.02639319936084023
1,52,0.04498327338386875
64,69,0.03222277976695305
0,4,0.04634785153230299
1,32,0.049101219799264954
24,27,0.0438922387279919
38,59,0.009999668928105422
24,62,0.046530672953636075
52,64,0.04975645036842761
37,84,0.03937605597867768
45,60,0.015238250266630523
16,48,0.05738782956939758
1,6,0.026617954837972333
13,79,0.005374014105421285
30,67,0.06574490839665757
10,63,0.024021851054419688
26,53,0.03604653649056756
68,76,0.03451711969696493
16,47,0.027995506841601805
19,24,0.042846953669391
3,73,0.04262981381100189
40,56,0.04913935846562271
70,81,0.025030143505450988
38,82,0.011184801316136372
9,64,0.04549363353991595
0,37,0.043690344097203085
18,41,0.027328234002087077
43,81,0.02511115712200908
53,84,0.013870421468774147
43,70,0.0408304866438869
22,70,0.008524445460966788
2,68,0.011414019978840477
0,24,0.036027418543810384
72,73,0.018026985764717424
20,72,0.014851061429901334
20,73,0.03263419696574241
2,76,0.023109728019425478
26,84,0.03140437567430815
75,78,0.03808633887553655
37,69,0.045595596309019444
51,70,0.01097024073320081
57,78,0.02919187475161702
24,80,0.008226316156699928
64,84,0.0380156847245483
53,69,0.021889130536166618
64,71,0.0022369640823128646
35,84,0.04822824576600602
57,75,0.0223021272685964
26,64,0.03396763087676267
13,49,0.040845753448128984
0,26,0.048864118796988446
12,69,0.041698008276379234
64,65,0.04334417006349168
26,80,0.02848393730107986
37,53,0.03481370351720277
39,60,0.03617843823258996
43,51,0.036438856005535876
49,79,0.044419744809781975
23,68,0.06844646956259663
11,78,0.04256827154185341
65,71,0.043501431851987175
35,53,0.04181924263785078
19,65,0.03436821298884785
29,33,0.009827877522157668
1,35,0.049236828327134226
30,46,0.024741342310748742
17,76,0.03417445662145377
5,8,0.032925722120510856
3,7,0.032675733412325395
9,26,0.017201785968811
22,85,0.02295985579256944
37,80,0.03831005273979288
50,65,0.03249497615631252
50,64,0.03181702456381272
4,27,0.0389173789310503
70,85,0.015487213036987395
36,77,0.022013113440164205
42,66,0.032766260872150225
9,37,0.02595612844615929
0,9,0.032398675185847756
6,32,0.035059647471779275
18,78,0.04451387196508443
11,18,0.01697074303715651
17,66,0.0291782689924561
4,7,0.010062707522406738
18,21,0.08377279109001669
27,80,0.03602742013012699
28,82,0.016518516198764082
55,81,0.029826528159980374
24,64,0.04414552812507225
55,85,0.03960558304806308
31,76,0.03475073856993941
3,4,0.03705579322546792
26,69,0.033592746101532865
10,57,0.036028753883255576
12,35,0.027644419986920975
55,74,0.04890358495110263
0,80,0.028368395243779206
22,43,0.0431687214448566
2,31,0.018418336889784816
71,84,0.03700853716097475
7,15,0.02155491965407316
9,71,0.047013580580138645
3,15,0.04195897344792095
52,71,0.04773740667776661
14,61,0.010777440523131752
62,80,0.04263141140492386
0,27,0.008226317741777314
26,71,0.03490537342882509
1,79,0.04955911395411081
39,45,0.03482170582469051
62,69,0.03785725498184929
69,71,0.030900821065419706
50,71,0.0335814745023919
18,57,0.034962246494414206
24,26,0.029054376237186985
51,85,0.005653531237675518
3,54,0.05534828536605906
35,39,0.0466184545092956
69,84,0.008226314976761757
9,27,0.038402935295648324
29,45,0.02776614920951019
17,42,0.016518545574258626
24,37,0.04343649516894499
63,75,0.04391909538483999
2,66,0.029863276737514433
66,68,0.04024893552401667
57,63,0.027572841553846133
11,63,0.040164951404805124
11,57,0.022315985441955333
22,81,0.031702300957367036
31,66,0.046082125170618445
59,82,0.01805104497579519
42,76,0.029567887764519733
9,62,0.029648998297800367
51,81,0.015605663433251427
8,43,0.0452453470919604
33,39,0.03761811511818499
12,84,0.03482170375054045
12,62,0.04148540907965076
28,38,0.026218797877231102
11,41,0.033283479778799495
7,27,0.046850839496390656
12,53,0.022373838566480543
19,71,0.03851814897366497
24,71,0.04617020180928946
4,15,0.030837736966346167
64,80,0.04965005738485511
19,50,0.005006462667231118
29,60,0.042948717582726836
32,52,0.011015622908372085
12,37,0.0485558743602358
34,74,0.03610355434692476
31,68,0.016983340689035092
33,60,0.033380155878518156
62,84,0.031242435461557957
58,79,0.06382673355639919
81,85,0.009988481855514757
29,39,0.04501124148910451
36,83,0.07563727310988627
41,75,0.027108814410033974
26,37,0.02372106729981843
19,64,0.03671792527147581
43,85,0.03161291887861364
20,25,0.044794774606503884
9,80,0.013055188446139029
32,44,0.09729303820432389
