NODEID,PRICE,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,HASPARKINGSPACE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,FLOORCLEAN,CADMAXBUILDINGFLOOR,CADASTRALQUALITYID,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_BLASCO,LONGITUDE,LATITUDE,ANTIQUITY,NEIGHBOURID
148,128000,0.0686936936936936,0.0617283950617283,0.0833333333333333,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.3333333333333333,0.1515151515151515,0.4444444444444444,0,1,0,0.2567837712768012,0.4405758118578065,0.2013161989951286,-0.376855770345329,39.4828569173709,0.1943793911007025,3
149,138000,0.0743243243243243,0.037037037037037,0.0833333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4999999999999999,0.303030303030303,0.3333333333333333,0,0,1,0.3108503054429244,0.3231459684320257,0.1811558896262632,-0.373110522276186,39.4853758473613,0.1217798594847775,3
150,311000,0.1148648648648648,0.037037037037037,0.1666666666666666,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666666666666666,0.4848484848484848,0.3333333333333333,1,0,0,0.2500231087346705,0.3344127145189116,0.1352463838896697,-0.372985876485114,39.4822019403261,0.1030444964871194,3
2781,181000,0.1531531531531531,0.0493827160493827,0.1666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.2121212121212121,0.2222222222222222,0,0,1,0.2821511376211689,0.396073687338709,0.1945674543855167,-0.375529295173589,39.484124230043,0.1007025761124121,3
2782,158000,0.1024774774774774,0.0493827160493827,0.1666666666666666,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1666666666666666,0.1515151515151515,0.5555555555555556,0,0,1,0.277823267787619,0.4226792997007682,0.2049197896339822,-0.376396993152244,39.4839276136989,0.0796252927400468,3
2783,91000,0.0349099099099099,0.0123456790123456,0.0833333333333333,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.4999999999999999,0.1515151515151515,0.3333333333333333,0,0,1,0.3119653127370941,0.4582740941471868,0.2427596812262351,-0.377587904799883,39.4856481471478,0.117096018735363,3
2784,223000,0.115990990990991,0.037037037037037,0.1666666666666666,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0.4999999999999999,0.1818181818181818,0.5555555555555556,0,0,1,0.2747858405237222,0.4462471981304353,0.2156921488888535,-0.37722848572823,39.4837662087444,0.0304449648711943,3
2785,165000,0.0596846846846846,0.0246913580246913,0.1666666666666666,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0.3333333333333333,0.1515151515151515,0.5555555555555556,0,0,1,0.2781834546098908,0.423297784544912,0.205459973236954,-0.376419547957049,39.4839461405061,0.0,3
2786,115000,0.099099099099099,0.0493827160493827,0.0833333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666666666666666,0.2424242424242424,0.4444444444444444,0,1,0,0.3041721174039714,0.389020271857657,0.2062854255891962,-0.375313071112885,39.4852364347346,0.1241217798594847,3
2787,223000,0.115990990990991,0.037037037037037,0.1666666666666666,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4999999999999999,0.1818181818181818,0.5555555555555556,0,0,1,0.2794160530596328,0.4453809966901402,0.2211042088304233,-0.377429112798656,39.4839959564887,0.0304449648711943,3
2788,78000,0.0518018018018018,0.037037037037037,0.0833333333333333,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.25,0.2727272727272727,0.3333333333333333,0,0,1,0.3036989802465865,0.3134746080027714,0.1709571407201806,-0.372812140487234,39.4849637066895,0.1241217798594847,3
2789,105000,0.0326576576576576,0.0123456790123456,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.1212121212121212,0.2222222222222222,0,0,1,0.2896883141737864,0.3750779729321442,0.1895419717482898,-0.374853644462882,39.484469319101,0.2060889929742388,3
2790,119000,0.0743243243243243,0.0246913580246913,0.0833333333333333,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0.75,0.303030303030303,0.3333333333333333,0,0,1,0.2981915628985314,0.297520465510565,0.1587062780643398,-0.372279748870262,39.48459131751,0.0960187353629976,3
2791,189000,0.1587837837837837,0.0493827160493827,0.1666666666666666,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.2424242424242424,0.4444444444444444,0,0,1,0.2764795365102664,0.4300934055455706,0.2263834299209903,-0.377888897042984,39.4838261569713,0.1007025761124121,3
2792,153000,0.0878378378378378,0.037037037037037,0.0833333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.303030303030303,0.3333333333333333,0,0,1,0.304811517450947,0.3613951419422467,0.194002976752962,-0.374395741770553,39.4852067018803,0.1053864168618267,3
2793,277000,0.1914414414414414,0.0493827160493827,0.1666666666666666,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5833333333333334,0.2424242424242424,0.4444444444444444,0,0,1,0.2399077427226429,0.426947187357487,0.1824829985527625,-0.376109336705069,39.4819932393647,0.1241217798594847,3
2794,192000,0.1148648648648648,0.037037037037037,0.1666666666666666,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.25,0.1212121212121212,0.3333333333333333,0,0,1,0.2838073752901775,0.4323638623892269,0.2135008874813732,-0.376745917152201,39.4842327810382,0.2060889929742388,3
2795,125000,0.1193693693693693,0.037037037037037,0.1666666666666666,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4166666666666666,0.2121212121212121,0.4444444444444444,0,0,1,0.330637945215701,0.3083498401733928,0.1903414789276513,-0.372459278540472,39.4863070441258,0.1007025761124121,3
2796,158000,0.0979729729729729,0.0493827160493827,0.0833333333333333,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.4166666666666666,0.1818181818181818,0.4444444444444444,0,0,1,0.2669865362742008,0.4152152998521488,0.1940331335706086,-0.376069165652895,39.4833706758571,0.0913348946135831,3
2797,152000,0.0754504504504504,0.037037037037037,0.0833333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.0606060606060606,0.3333333333333333,0,0,1,0.3357417852017305,0.4420994681665317,0.2499134697289575,-0.376844234602707,39.4868745728228,0.1826697892271662,3
2798,72000,0.0518018018018018,0.0246913580246913,0.0833333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5833333333333334,0.2727272727272727,0.4444444444444444,0,1,0,0.298175450224389,0.3489019768967403,0.1832339245714697,-0.373991454038752,39.4848282062023,0.1311475409836065,3
