NODEID,PRICE,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,HASPARKINGSPACE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,FLOORCLEAN,CADMAXBUILDINGFLOOR,CADASTRALQUALITYID,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_BLASCO,LONGITUDE,LATITUDE,ANTIQUITY,NEIGHBOURID
18,110000,0.0686936936936936,0.0246913580246913,0.0833333333333333,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.1666666666666666,0.2727272727272727,0.2222222222222222,0,0,1,0.4217303906431757,0.5129519608815652,0.3273900638649307,-0.377272888241182,39.4912444961153,0.117096018735363,71
155,81000,0.0506756756756756,0.0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0833333333333333,0.2121212121212121,0.4444444444444444,0,0,1,0.4047528885506859,0.476492901635427,0.3479008042193237,-0.38072097290817,39.4901421245108,0.1077283372365339,71
156,59000,0.0653153153153153,0.037037037037037,0.0833333333333333,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,0.303030303030303,0.1111111111111111,0,0,1,0.3758467220061104,0.4520936336589388,0.3243169700282517,-0.380578576060835,39.488670483455,0.1358313817330211,71
157,85000,0.0686936936936936,0.037037037037037,0.0833333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4166666666666666,0.2121212121212121,0.4444444444444444,0,0,1,0.4078940409585153,0.4949266422937085,0.3447267612055271,-0.380177805566084,39.4903641074236,0.1077283372365339,71
158,123000,0.0979729729729729,0.0246913580246913,0.1666666666666666,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4166666666666666,0.2121212121212121,0.3333333333333333,0,0,1,0.3675260402397038,0.4685946189346052,0.2796552749829571,-0.377225423286305,39.4884867397859,0.1077283372365339,71
159,114000,0.0889639639639639,0.0493827160493827,0.0833333333333333,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0.25,0.2121212121212121,0.3333333333333333,0,0,1,0.3530770270519475,0.4953928833041295,0.2823996949498059,-0.378429143938742,39.4877031136653,0.1077283372365339,71
161,87000,0.0686936936936936,0.037037037037037,0.0833333333333333,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0833333333333333,0.1212121212121212,0.1111111111111111,0,0,1,0.3449097291047152,0.4871655285761996,0.2785809916588601,-0.378608008952295,39.4872747275576,0.1522248243559719,71
162,98000,0.0563063063063063,0.0246913580246913,0.1666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.2424242424242424,0.4444444444444444,0,0,1,0.4112230889222533,0.4440560096614721,0.2958294663673356,-0.375050101955061,39.4906808026133,0.0234192037470725,71
2716,73000,0.072072072072072,0.037037037037037,0.0833333333333333,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1666666666666666,0.2121212121212121,0.3333333333333333,0,0,1,0.3499053805546067,0.4684873498524798,0.2911357635479993,-0.379344698379922,39.4874715203293,0.1217798594847775,71
2743,74000,0.072072072072072,0.037037037037037,0.0833333333333333,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1666666666666666,0.2121212121212121,0.3333333333333333,0,0,1,0.3373136972055741,0.4696050907980038,0.2787964490694939,-0.37905404790381,39.4868523677565,0.1217798594847775,71
