NODEID,PRICE,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,HASPARKINGSPACE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,FLOORCLEAN,CADMAXBUILDINGFLOOR,CADASTRALQUALITYID,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_BLASCO,LONGITUDE,LATITUDE,ANTIQUITY,NEIGHBOURID
296,246000,0.1351351351351351,0.0493827160493827,0.25,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0.5833333333333334,0.2121212121212121,0.3333333333333333,0,0,1,0.3575738156590837,0.2208016825790939,0.2187738226228736,-0.353761750714348,39.4652256545635,0.0585480093676815,54
7926,238000,0.1193693693693693,0.037037037037037,0.1666666666666666,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1666666666666666,0.2424242424242424,0.5555555555555556,0,0,1,0.308629487570828,0.2378861518861145,0.2146789019053318,-0.35674284790136,39.4663024801402,0.0351288056206089,54
7997,157000,0.0619369369369369,0.0246913580246913,0.0833333333333333,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.75,0.2424242424242424,0.5555555555555556,0,0,1,0.3095974402684162,0.2581579525501654,0.2263875840692062,-0.356844241642574,39.4657732685593,0.0796252927400468,54
8058,191000,0.0292792792792792,0.0123456790123456,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.2424242424242424,0.5555555555555556,0,1,0,0.3073147394942095,0.2481223049100233,0.2214079055302002,-0.356915989382136,39.4660271460793,0.0796252927400468,54
9324,156000,0.0596846846846846,0.0246913580246913,0.0833333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.4848484848484848,0.4444444444444444,0,0,1,0.3950750616102257,0.1952281931382774,0.2025421451985898,-0.351189580638291,39.465320205576,0.1288056206088993,54
9392,347000,0.125,0.037037037037037,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4999999999999999,0.2121212121212121,0.4444444444444444,1,0,0,0.4168575509111302,0.2068820978714601,0.2007872931641538,-0.349806328880764,39.4650184063569,0.0772833723653395,54
9541,162000,0.063063063063063,0.037037037037037,0.0833333333333333,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.6666666666666666,0.2727272727272727,0.6666666666666666,0,0,1,0.4051799084514509,0.2410269000352757,0.2259468596423677,-0.350897896603864,39.4641243995261,0.0374707259953161,54
9576,141000,0.072072072072072,0.0246913580246913,0.0833333333333333,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.1666666666666666,0.2424242424242424,0.4444444444444444,0,0,1,0.405362264703998,0.288226276531665,0.2534270678912477,-0.351372962934237,39.4629370612094,0.0960187353629976,54
9587,139000,0.063063063063063,0.037037037037037,0.0833333333333333,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.6666666666666666,0.2424242424242424,0.4444444444444444,0,0,1,0.4038474965452566,0.2734240932521209,0.2452737387096184,-0.35131217433511,39.4633140441567,0.0913348946135831,54
9595,144000,0.0923423423423423,0.037037037037037,0.1666666666666666,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.4166666666666666,0.1515151515151515,0.5555555555555556,0,0,1,0.4053058780876918,0.2392581453119586,0.2248720131906948,-0.350872964463861,39.4641688750408,0.0444964871194379,54
