NODEID,PRICE,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,HASPARKINGSPACE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,FLOORCLEAN,CADMAXBUILDINGFLOOR,CADASTRALQUALITYID,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_BLASCO,LONGITUDE,LATITUDE,ANTIQUITY,NEIGHBOURID
72,501000,0.1227477477477477,0.0617283950617283,0.0833333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4999999999999999,0.2727272727272727,0.6666666666666666,0,0,1,0.0484832518842784,0.1839917823239962,0.2401474840650395,-0.376707744386292,39.4722592401438,0.2060889929742388,86
78,394000,0.231981981981982,0.0617283950617283,0.25,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.5833333333333334,0.2727272727272727,0.6666666666666666,0,0,1,0.0388151161542352,0.1120451380836316,0.3058622804642566,-0.379200030113949,39.4699641769756,0.126463700234192,86
79,352000,0.1486486486486486,0.037037037037037,0.1666666666666666,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.75,0.6060606060606061,0.6666666666666666,0,1,0,0.041986918205712,0.0804075799262897,0.3220481313126866,-0.379193112374273,39.4689099911106,0.1241217798594847,86
80,308000,0.063063063063063,0.037037037037037,0.0833333333333333,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.6666666666666666,0.1818181818181818,0.6666666666666666,0,0,1,0.0343763142650372,0.0933951189892541,0.3085885654892704,-0.378902010299801,39.4695430507869,0.1592505854800937,86
81,529000,0.1756756756756756,0.0617283950617283,0.25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5833333333333334,0.2424242424242424,0.5555555555555556,0,0,1,0.022442718123141,0.0499102638615543,0.3040583901488705,-0.377488314280994,39.4688084705585,0.1826697892271662,86
82,353000,0.1418918918918918,0.0493827160493827,0.1666666666666666,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0.4166666666666666,0.2727272727272727,0.6666666666666666,0,0,1,0.0148608790466468,0.1079597574924804,0.2775004148871928,-0.377338597843851,39.4703185701835,0.1592505854800937,86
83,597000,0.1925675675675675,0.0493827160493827,0.25,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.5833333333333334,0.2727272727272727,0.7777777777777777,0,0,1,0.0409820476142348,0.1241022671928836,0.2314221169815141,-0.374744344200475,39.4713050139894,0.1194379391100702,86
84,654000,0.1981981981981982,0.037037037037037,0.25,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.3333333333333333,0.2424242424242424,0.7777777777777777,0,0,1,0.0373151856855054,0.0454939418198957,0.320945714395498,-0.378296275356162,39.4683402253514,0.1124121779859484,86
92,703000,0.2488738738738738,0.074074074074074,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9166666666666666,0.303030303030303,0.7777777777777777,0,1,0,0.0533441880428572,0.0606089866862124,0.3084790195531661,-0.375128243564447,39.4672777449465,0.1288056206088993,86
345,547000,0.1981981981981982,0.0617283950617283,0.1666666666666666,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.6060606060606061,0.6666666666666666,0,0,1,0.0531276687008027,0.0868049091015405,0.3349752876599177,-0.379776694931748,39.4685357719713,0.1241217798594847,86
