NODEID,PRICE,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,HASPARKINGSPACE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,FLOORCLEAN,CADMAXBUILDINGFLOOR,CADASTRALQUALITYID,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_BLASCO,LONGITUDE,LATITUDE,ANTIQUITY,NEIGHBOURID
116,141000,0.0799549549549549,0.037037037037037,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666666666666666,0.0909090909090909,0.3333333333333333,0,0,1,0.0683408174803456,0.0609174566892474,0.3552142085672384,-0.378994142265246,39.4667794260731,0.2412177985948477,52
117,284000,0.1171171171171171,0.0617283950617283,0.25,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.1666666666666666,0.2424242424242424,0.2222222222222222,0,1,0,0.1010522197405794,0.0483000728528559,0.3927202893788951,-0.380629703534135,39.4656271391643,0.0796252927400468,52
118,126000,0.0416666666666666,0.0123456790123456,0.0833333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1212121212121212,0.3333333333333333,0,0,1,0.0855017727081584,0.0538814852266572,0.3713301786323052,-0.381521666284467,39.4675661160023,0.018735362997658,52
723,936000,0.2882882882882883,0.074074074074074,0.3333333333333333,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1.0,0.303030303030303,0.3333333333333333,0,0,1,0.0596889876023094,0.0896144637463595,0.3432251924798546,-0.380044348645641,39.4682174894325,0.1217798594847775,52
735,495000,0.2545045045045045,0.0617283950617283,0.1666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4166666666666666,0.3333333333333333,0.8888888888888888,0,1,0,0.0473408772965343,0.0123624423172783,0.3226452351096277,-0.376776624529317,39.4673329822956,0.1592505854800937,52
783,244000,0.0867117117117117,0.037037037037037,0.1666666666666666,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.6060606060606061,0.6666666666666666,0,0,1,0.0534983649255329,0.0664970964812363,0.3386127493243085,-0.379332435299296,39.4679852262529,0.1241217798594847,52
1030,234000,0.0743243243243243,0.0246913580246913,0.1666666666666666,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1666666666666666,0.1818181818181818,0.5555555555555556,0,0,1,0.1030800227324671,0.0590877365852525,0.3828681978462326,-0.377705957084991,39.4645612265552,0.1077283372365339,52
1155,300000,0.170045045045045,0.074074074074074,0.1666666666666666,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0.1666666666666666,0.2121212121212121,0.5555555555555556,0,0,1,0.0938760103758573,0.0762662819864332,0.3722266928304177,-0.377456800141463,39.465006044572,0.1451990632318501,52
1469,342000,0.1306306306306306,0.0493827160493827,0.1666666666666666,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6666666666666666,0.2121212121212121,0.3333333333333333,0,0,1,0.103147947377265,0.0503353520624684,0.3582903628820654,-0.383418601839677,39.4702934665325,0.1475409836065573,52
1471,513000,0.2038288288288288,0.037037037037037,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4166666666666666,0.0909090909090909,0.5555555555555556,0,0,1,0.101638780019704,0.0534275676370864,0.3580462869414462,-0.383328729201013,39.4702103636904,0.0257611241217798,52
