NODEID,PRICE,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,HASPARKINGSPACE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,FLOORCLEAN,CADMAXBUILDINGFLOOR,CADASTRALQUALITYID,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_BLASCO,LONGITUDE,LATITUDE,ANTIQUITY,NEIGHBOURID
12641,43000,0.0529279279279279,0.037037037037037,0.0833333333333333,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.4999999999999999,0.1515151515151515,0.5555555555555556,0,0,1,0.647331867890929,0.4736817513953907,0.5104403063865165,-0.369011400086021,39.5022015547909,0.1217798594847775,84
12657,41000,0.0427927927927927,0.0123456790123456,0.0833333333333333,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0.4166666666666666,0.1515151515151515,0.3333333333333333,0,0,1,0.6660968992366784,0.4845795233395849,0.5301869373625503,-0.368651086851617,39.5031212959695,0.1334894613583138,84
15601,46000,0.0619369369369369,0.037037037037037,0.0833333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4999999999999999,0.1515151515151515,0.5555555555555556,0,0,1,0.6573258790916922,0.4794499908340116,0.5209921984101616,-0.368830055952881,39.5026929292689,0.126463700234192,84
15605,68000,0.1024774774774774,0.0493827160493827,0.0833333333333333,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1666666666666666,0.303030303030303,0.2222222222222222,0,1,0,0.5912721724070487,0.4497638054086514,0.4531628091819331,-0.370253918001249,39.4994730066943,0.1030444964871194,84
16817,38000,0.054054054054054,0.037037037037037,0.0833333333333333,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.4999999999999999,0.1515151515151515,0.5555555555555556,0,1,0,0.6434664315777717,0.4745001540274479,0.5068493529339861,-0.369180855620533,39.5020252169701,0.1241217798594847,84
16818,40000,0.054054054054054,0.037037037037037,0.0833333333333333,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.4999999999999999,0.1515151515151515,0.5555555555555556,0,1,0,0.6529541379271495,0.4705853101741201,0.5153274145915482,-0.368688181309222,39.5024464800783,0.1217798594847775,84
17038,157000,0.0788288288288288,0.0246913580246913,0.1666666666666666,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0.0833333333333333,0.303030303030303,0.2222222222222222,0,0,1,0.57617747634341,0.4598069501224079,0.4422519996684086,-0.371313401206692,39.4988213251251,0.0936768149882903,84
17897,180000,0.0731981981981982,0.0246913580246913,0.1666666666666666,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0.5833333333333334,0.2424242424242424,0.5555555555555556,0,0,1,0.6103066189434223,0.4346105955864897,0.5839814465192402,-0.387678132278521,39.4996498601165,0.0304449648711943,84
17958,168000,0.09009009009009,0.037037037037037,0.1666666666666666,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,0.2121212121212121,0.6666666666666666,0,0,1,0.57318057557767,0.6070231858717589,0.5081185009659173,-0.381877393802846,39.4986724704909,0.0515222482435597,84
20485,30000,0.0427927927927927,0.037037037037037,0.0833333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4166666666666666,0.1515151515151515,0.2222222222222222,0,0,1,0.677345216601045,0.4929155581140876,0.5421695704048782,-0.368455740420962,39.5036754138396,0.1077283372365339,84
20529,124000,0.1069819819819819,0.037037037037037,0.1666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4999999999999999,0.303030303030303,0.3333333333333333,0,0,1,0.5798296960334286,0.4485237875102728,0.4430075921166949,-0.370739015224101,39.4989434599232,0.0351288056206089,84
20585,55000,0.09009009009009,0.037037037037037,0.0833333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666666666666666,0.303030303030303,0.3333333333333333,0,1,0,0.595707081536579,0.4592060140369383,0.4589507661696793,-0.370395792819663,39.4997194540678,0.1077283372365339,84
21041,152000,0.0878378378378378,0.037037037037037,0.1666666666666666,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.2121212121212121,0.6666666666666666,0,0,1,0.5714625455204003,0.6068851809775794,0.5060711913591885,-0.38182234337948,39.4985901510834,0.0538641686182669,84
25422,39000,0.054054054054054,0.037037037037037,0.0833333333333333,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.25,0.1515151515151515,0.5555555555555556,0,0,1,0.6434935976597093,0.4675688315410964,0.5057043229875716,-0.368937879857499,39.5019926887259,0.1217798594847775,84
25462,87000,0.0743243243243243,0.037037037037037,0.0833333333333333,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.9166666666666666,0.303030303030303,0.3333333333333333,0,0,1,0.596336855096006,0.465720348125455,0.4608660825686786,-0.370614506547766,39.4997784563896,0.1077283372365339,84
