source,target,DISTANCE
186,312,0.03088557979719961
208,289,0.022086248611656083
67,108,0.03045061060955608
155,167,0.025025499435340572
257,367,0.04215128535637207
292,348,0.04981218978503901
166,177,0.041386379864944325
37,89,0.035086724447167206
73,104,0.04398243206338113
19,242,0.02564427785202721
136,144,0.0318114712084041
146,156,0.014287691851115126
154,233,0.027108505664601257
151,204,0.042116863460474434
106,240,0.042629234212632
16,80,0.046146186282689475
80,331,0.04733901817488316
181,340,0.012535781279394746
334,338,0.04831833111193046
63,185,0.01969184065386008
250,353,0.03403971388470017
7,90,0.012059584419382393
281,318,0.01027633699387606
267,345,0.04864317865092045
47,276,0.028210619170341265
269,286,0.03187232987297332
7,245,0.046872303749249486
102,248,0.008947727493234109
59,145,0.04089437806068272
188,316,0.03291870370901438
99,141,0.04887684894103947
282,336,0.034276388380474684
83,191,0.04931425079065164
111,314,0.018974569587037707
124,330,0.048662739732612
20,35,0.030531039481018183
223,280,0.01742649593764218
45,215,0.04182048551442732
15,60,0.03000817159744315
32,67,0.03738022751844534
104,192,0.03297167573231843
200,313,0.042788672286946106
241,315,0.04787979274022219
79,170,0.014575390410152956
82,329,0.029059917012289622
69,130,0.02474120096644016
232,289,0.02986290824322641
166,214,0.03443708464625657
140,299,0.03983546678733493
202,353,0.012207521456000354
10,123,0.03045060041687729
74,240,0.025066538164765343
84,361,0.03966379902398042
111,292,0.03701793465218795
188,300,0.02659449035967196
173,285,0.008602707292562172
39,253,0.029701651456974697
40,149,0.027922945888999812
36,77,0.013391966329198594
7,127,0.007210689669137771
39,224,0.049782292604563086
59,197,0.026274446571772133
153,167,0.029076050716019448
213,348,0.03708833690877832
22,253,0.02935013088533308
69,239,0.023572631202217958
129,149,0.04322790669115584
126,316,0.04525544738742661
34,35,0.03935667471615038
47,303,0.03404349830995239
106,214,0.007286769817255245
234,258,0.02471865562074827
104,212,0.030068188228705304
28,174,0.04403589147599409
13,160,0.04322800397829642
166,226,0.033922602551910756
35,283,0.03802785324653832
67,327,0.030469681142777302
229,287,0.03410236118746492
40,347,0.025808097800865792
180,278,0.038907712588030545
204,281,0.024358636207317666
71,89,0.04881568494283078
80,95,0.00099728273512464
102,272,0.04632916177866592
60,127,0.035101055612649854
28,90,0.024027266066029715
176,221,0.04953721381948398
6,132,0.021943092746645194
78,366,0.023024455560290365
122,147,0.04994189749539359
216,349,0.048680494536694235
333,350,0.045650034914127884
94,124,0.007808377902120323
215,335,0.02332857634080142
207,309,0.03513486247754081
288,321,0.04307073343928652
246,277,0.008947733355291736
121,247,0.04135065975351415
243,263,0.005653468867745718
147,148,0.048708310716945556
152,237,0.039252229970065014
297,352,0.02398286737558546
210,252,0.04712387022933821
15,174,0.03220442670404437
148,360,0.04334402090415852
340,347,0.03386928885605887
