source,target,DISTANCE
237,249,0.02866661079786691
25,394,0.041172131268951646
116,570,0.03496268969446655
186,188,0.016379619572117133
301,377,0.0329724546954528
128,501,0.03830477666028754
225,341,0.04116459897491269
213,641,0.046049998772164785
3,88,0.009496095890792103
137,351,0.04464091373240444
463,482,0.040246536176897135
470,572,0.04059478371849
480,510,0.023116674753011192
102,217,0.031804630816730795
342,617,0.01827083142651652
3,557,0.025113681128401868
3,92,0.0161222157214305
3,230,0.022991629896886506
83,403,0.04688435515029318
399,607,0.03801717695599094
280,361,0.04207687185495403
140,529,0.047965611324350135
157,159,0.031184931419675432
272,527,0.0393720340482764
240,486,0.023024980962307793
106,351,0.04458519175693982
73,608,0.031619714330712805
285,489,0.022387945286992155
619,624,0.04902418587657152
112,489,0.007287872850878753
51,311,0.023935373292264073
365,500,0.04736260049642899
401,624,0.02892185971958844
36,601,0.04823935056869103
240,475,0.04878646390479469
81,272,0.0480442850635055
84,280,0.03250050299675744
295,529,0.022801932372480155
453,474,0.021478268880858093
133,266,0.04404909567667773
396,624,0.036697546940164
54,477,0.020498831123932037
154,358,0.04681755276635117
32,203,0.015052430382418413
37,388,0.03396800564792181
75,80,0.007599356930879157
230,259,0.007287870885488507
266,428,0.03317758712443175
57,109,0.01296499866639511
55,64,0.01602089294374352
152,207,0.04166870031345518
130,179,0.039351412596606065
281,486,0.04161687704249748
243,619,0.036565188738702833
106,240,0.04987793517727572
287,404,0.02328329185151247
58,590,0.0474398264849864
326,599,0.03178096567529007
350,469,0.031329595611166314
130,175,0.04892790911136943
243,329,0.046995162736176675
57,100,0.03439843005001221
447,580,0.04362005051483288
23,255,0.042244460243384324
110,221,0.013568618163837915
109,152,0.015539439886582756
46,489,0.022787443558408033
564,597,0.02576955548487935
109,285,0.015052434780369228
534,535,0.024410201369265864
507,580,0.021558655934820488
1,46,0.038736841876769845
351,621,0.0397303277324751
63,367,0.012506473826375458
215,387,0.03301093197952745
470,624,0.041668612997974905
385,437,0.03928058964370816
25,225,0.023986613402221215
59,171,0.040431415290581155
269,437,0.04939754393759133
116,392,0.03394537460101115
333,564,0.008072061990589723
198,276,0.033283878921648545
411,525,0.031204512051427588
454,512,0.023479214622954707
290,597,0.033163819805348424
314,329,0.04295864815188498
218,267,0.021051256955299844
46,285,0.01938704945720586
144,370,0.046326568169012816
235,625,0.03597177107532101
98,99,0.018201742693227104
271,631,0.04468173804289902
77,501,0.026513264157543227
180,283,0.031244946431803255
140,266,0.029702487961283105
272,284,0.025023191692669627
40,209,0.01920230024544785
77,612,0.01415991875690269
249,574,0.041529875689236696
262,330,0.028921900706549274
290,321,0.022505856323790947
128,248,0.04947194845307028
352,515,0.044681785053330716
163,164,0.045332534657450775
512,523,0.02050453196444033
255,405,0.02328807830165505
242,385,0.04198840967409511
413,639,0.04134090693630747
403,454,0.02471928518981873
241,351,0.024763769490771165
95,570,0.04940848627885358
240,253,0.043627782463159896
52,512,0.02278293493653376
301,631,0.04470437102975684
302,621,0.03570604743131559
401,409,0.019688230470127206
154,491,0.03347443378412449
113,595,0.034839920211660935
287,308,0.029406777167580857
137,523,0.03088639998338483
176,479,0.02327471950895879
65,599,0.04390749432614795
282,478,0.02968281793376547
56,406,0.04017309496640577
79,573,0.038733109564711654
333,579,0.005104668556325488
601,624,0.011400745810266457
50,623,0.0496925012781425
160,414,0.01839958943536313
19,187,0.006090278525481844
212,422,0.029367729072268995
262,466,0.041484372296419235
25,246,0.010799688160031948
5,589,0.03798686217876709
341,351,0.016268496696240038
125,381,0.0353654207134883
376,580,0.04076219955873851
363,576,0.018027186502837605
362,585,0.035372292424221664
532,620,0.0036062158189091764
361,636,0.04594182548786342
556,598,0.012056723199280186
88,523,0.04890444950011778
52,153,0.04468574927721841
303,577,0.013424457411602827
561,644,0.019189814442672492
10,544,0.04542429437581117
52,454,0.04330159884937166
373,612,0.009973059256415825
141,344,0.04181392817766406
204,568,0.018975486740439647
132,370,0.03967803766933045
374,482,0.035977070419863796
40,503,0.02982007288526234
62,201,0.02371038105390641
95,116,0.04247703996629408
109,516,0.02406368217606014
120,183,0.0145244894336129
138,342,0.04480296208253894
197,558,0.04744155400415062
265,580,0.027449356931283347
454,580,0.041279955311394105
56,620,0.03356019259318681
241,492,0.009217046157263539
335,627,0.021940765243223755
345,504,0.049154291093950316
138,439,0.03344554134692555
340,394,0.028086398321832892
370,455,0.015541203640796362
103,498,0.04403984550516341
103,459,0.03581483888819066
356,438,0.04357879062055885
389,457,0.04831929076878506
28,572,0.030295335841215847
40,214,0.025443129109325557
145,158,0.04577659025148396
212,370,0.031184976266744296
275,608,0.00223741065302342
200,302,0.040004508506746174
278,498,0.04071125346863069
156,270,0.048895631328888835
57,152,0.01749901169676046
132,395,0.035135647139720984
77,380,0.021051267924613253
108,311,0.02149628574390582
560,608,0.024361116555693847
64,91,0.04739379416850379
87,569,0.03903101247809329
179,479,0.04509921034372
241,262,0.04938511397936281
485,608,0.04784707991515517
12,436,0.03637092307673094
516,597,0.03808692016047477
196,197,0.022747036437356406
138,521,0.025650895446874763
155,597,0.0169608095575989
35,478,0.04506955045374488
43,209,0.03446036588173204
52,263,0.029537926137953894
57,489,0.010618750735814622
335,570,0.0411903778076781
477,552,0.012057704086886821
151,584,0.024269052768485587
32,622,0.005373206673475457
132,637,0.03880464355297287
161,639,0.012134519598307483
144,574,0.044278496109273396
363,517,0.009031664373178802
199,639,0.01839196102679058
137,439,0.04645042996897179
119,317,0.04638393396707754
315,367,0.020170339862173908
22,110,0.02552553336499832
303,592,0.028304184868165935
108,341,0.02105128788890964
44,373,0.040560084693112154
46,112,0.018393829186264407
487,609,0.029646593653222513
94,401,0.01820178550392826
270,494,0.040846243410512836
71,369,0.03977569006254606
553,637,0.027053827062274723
490,582,0.03463828158575498
