source,target,DISTANCE
355,443,0.04757789232906849
253,529,0.0224882700500382
65,263,0.0009973019299186414
448,472,0.043335860976501425
114,198,0.043984650585817284
184,692,0.015093433435600285
144,447,0.043818602534591966
334,485,0.04807238615901367
376,600,0.039371798282777495
24,122,0.035358518778254334
270,656,0.021478136322197718
288,480,0.04428730501892351
421,554,0.013389684164339676
351,613,0.03427473671688749
3,404,0.04871816957102046
129,250,0.03913165090938502
280,460,0.025211302667838723
108,492,0.02385892883490043
303,638,0.005374041290075992
458,533,0.03768153653445482
562,618,0.0370002879002641
294,388,0.03264186225925753
44,576,0.03326610908018691
111,257,0.04612221237349632
95,690,0.0400677580217613
513,593,0.010172546290049995
360,376,0.02258700633561545
474,552,0.009856015770604739
508,644,0.049077157618926066
600,694,0.0058207893648466215
333,624,0.012659586292346087
160,473,0.020050562593245638
282,681,0.026934537387077535
508,518,0.02998026970611324
93,315,0.048247662116505094
118,268,0.048644085373966264
269,540,0.024066276870702206
10,60,0.015813186754591858
303,480,0.039376273806477194
108,405,0.02898593431749276
421,489,0.03482184454892288
422,549,0.03290177726916761
305,409,0.008040768685216273
95,638,0.008049256709389399
5,588,0.044193464901649784
197,232,0.04298973024998232
6,341,0.04442887641012594
2,633,0.012180467100409485
260,666,0.03905892408306755
40,679,0.02779382684295987
323,496,0.0317104884815713
333,438,0.03696659458104529
111,437,0.04333575452705831
92,161,0.02080573249960528
211,382,0.04774846284170047
164,437,0.04210220573765582
341,558,0.046861208986463655
367,544,0.03585374312139195
117,599,0.036251403613475244
462,466,0.04710369543925653
510,512,0.03575373310440126
507,543,0.026205809939398264
186,389,0.028560755653192365
83,644,0.03958526019857038
283,349,0.030393284374081914
164,265,0.006396570413081939
268,622,0.04838599080324559
121,509,0.02411328459130093
462,643,0.029036769920000118
432,458,0.023116521429665027
465,499,0.028660142229707617
52,587,0.04498347876290492
201,273,0.009997496985912199
70,550,0.021911007953526903
543,637,0.048424824628420134
288,475,0.036426411832347044
3,270,0.03951966458997155
143,681,0.00807200202791564
92,518,0.035998699616682096
354,369,0.015092518921613127
12,635,0.02893931673100325
342,397,0.023573025508735145
12,533,0.03851833424124817
6,93,0.015543655487586818
219,490,0.04199491829813583
134,149,0.0150194504023122
263,563,0.047230676611370495
106,654,0.04688050736342042
347,412,0.03673958657124964
360,437,0.028413460044173826
274,302,0.04241886470644342
452,456,0.009211356158964998
225,645,0.02296000659407984
415,416,0.04952662842176309
6,390,0.014856768387687534
40,378,0.03039897082221482
131,406,0.047138636120015634
6,501,0.03253673843555287
149,394,0.039655249820836146
244,450,0.048556210023024675
583,689,0.037698441528847944
482,528,0.048152414478038294
645,694,0.033178665787003396
345,575,0.03365067537845174
409,605,0.034398207704060484
341,430,0.010276537210494973
378,613,0.043786975192186856
2,207,0.031396121411447014
198,346,0.025199085681423938
6,619,0.03220497767862194
164,644,0.0412563133592886
70,130,0.007286913845135637
317,466,0.026371294901273077
27,409,0.011412725069072156
592,645,0.04005187127376048
66,79,0.04414582171333235
131,594,0.03469330310813632
506,589,0.04206651919562727
570,652,0.03659961716884234
83,625,0.01970859453169012
315,386,0.04068650867908777
62,575,0.02801469501142648
313,472,0.04377853127029448
207,220,0.034963451382442036
621,637,0.046181051323981
56,440,0.03904251582092847
370,372,0.02335895203583737
84,197,0.047955057887487856
106,279,0.02371302494259042
167,229,0.029562905531198457
197,360,0.048247370183270036
50,550,0.032475595946085956
103,512,0.04998882018456725
89,365,0.027793817073087014
2,621,0.029344572060117
513,585,0.024142885497741857
337,417,0.045595884277554004
123,239,0.043892472215846294
420,661,0.02406354113239824
475,670,0.023270317784052478
1,98,0.033554623308964984
287,417,0.005104628719035039
622,645,0.042502522838352715
374,386,0.020132769905587263
219,297,0.03853854503673388
8,644,0.04182067175910861
303,382,0.04771788293531191
627,672,0.0390308613331898
383,670,0.043619678633996954
52,636,0.010062746925049085
154,349,0.03786277434812717
567,583,0.018365620491583627
106,207,0.04298978200269044
115,493,0.042350231198266176
474,684,0.029175072696828456
132,654,0.04559762222125426
461,685,0.02337374531220034
2,356,0.017495288325714405
62,314,0.046754700726261054
264,692,0.038107906085969354
42,393,0.03466959108376881
161,535,0.04818466644122193
353,522,0.03225592018780938
409,568,0.042400695092606897
458,617,0.040194626456599054
527,561,0.03244875980256742
365,402,0.04768395396248903
89,414,0.021242286715859315
203,445,0.039904830191206976
62,417,0.04898128932903845
92,197,0.04435084580626976
157,433,0.0377995640894675
8,692,0.03526391966875853
542,602,0.03631107771066697
106,171,0.017899160343801762
437,554,0.02056588294811092
36,167,0.04773432365374913
162,220,0.04415788787430202
137,315,0.04715526411402147
113,382,0.04725801390656656
201,503,0.03505986317446395
430,536,0.041263198011145426
