source,target,DISTANCE
104,169,0.04707021366924486
252,290,0.020832231739875837
15,260,0.02970184613962096
45,79,0.04542282241406785
115,231,0.048434153467308616
156,264,0.04433904112280324
13,134,0.02700057549600561
116,207,0.03966760026654469
0,139,0.04789797392936208
3,147,0.029435694700367332
130,212,0.036199699060563854
17,294,0.045316884497994564
27,213,0.04818396727512556
97,196,0.01498263342999462
68,285,0.02934002781715708
103,130,0.038276899306849216
208,290,0.03714490686296065
153,205,0.04908783732568902
259,286,0.033936762209573125
123,178,0.015052610166502965
260,294,0.04821490352399449
209,228,0.038245363644506765
153,302,0.04681671502493113
7,242,0.028036012242964665
162,213,0.038503250490531014
123,180,0.03579787628455723
1,113,0.030840704217769084
97,289,0.02203104117868861
134,182,0.04775643435918723
242,302,0.037497054507213884
180,259,0.039894038847545076
165,219,0.017898922707077578
50,53,0.01839162256944875
114,179,0.031248067531946443
36,161,0.041664450199734436
139,143,0.014280792655694013
49,180,0.03517383081090207
52,148,0.01785265808618188
94,184,0.032965597313482836
162,193,0.023116260122943908
125,204,0.03959626858720633
5,301,0.03495152026097945
22,255,0.045885888687723725
6,91,0.038635245361431036
69,70,0.008591586249365976
77,165,0.04161602468834241
133,157,0.013867450760534602
103,205,0.0044747395359518
138,177,0.03536826689406419
6,90,0.036265505011036335
108,228,0.0398586922291388
108,117,0.04875260956004997
134,230,0.03191431244034659
153,209,0.0211218687987897
244,267,0.02878861740017153
177,298,0.03738283381570993
204,312,0.03316317314852274
23,63,0.01742145905172666
33,49,0.021860479816120163
174,266,0.04789797294292509
204,247,0.02920277686393985
244,301,0.027995270785498225
18,313,0.03810757777645352
266,288,0.03204115270430975
58,286,0.032719813999989786
62,108,0.04188874493562517
144,150,0.016082249682815478
14,168,0.030398613329255426
265,279,0.01495930956338543
151,290,0.038951523459594364
123,255,0.04548496754247822
33,67,0.04559515351006309
62,264,0.040203213199073114
150,303,0.04056434053383492
13,237,0.036051538162074334
33,147,0.022586777479271982
21,105,0.030294804161590687
221,228,0.008551449976269753
47,61,0.033873172804577405
58,204,0.028788633816475836
62,153,0.01595658700992352
105,204,0.028668849033956126
69,301,0.047257327710984044
7,302,0.02808584083019175
54,223,0.026991173883298084
49,153,0.03946750935054515
50,176,0.043066639012486405
177,247,0.019185774736659143
108,162,0.03410163068521367
62,205,0.04843138360576543
123,279,0.01839162023009183
54,146,0.020573788636984704
22,177,0.007600498477016503
97,240,0.04671561562355951
29,133,0.03950735864344991
67,286,0.021120936441270242
140,197,0.049782631852626165
121,292,0.04690975761231174
86,192,0.02560849157259147
163,177,0.033287908786600894
49,212,0.007599191798591253
26,300,0.04637158310893527
33,153,0.045227993746773804
109,300,0.04406209558814015
16,157,0.0338424876550393
180,247,0.028798547276656927
67,102,0.020132529203180666
3,97,0.026884761191382896
7,147,0.03959406156996823
162,221,0.018373867928548896
13,296,0.03198241426573551
153,289,0.045983660582761425
77,189,0.016647046554526937
31,173,0.011643832488360806
196,222,0.007009004388165005
23,36,0.01609501564709171
217,264,0.04808114627389423
41,230,0.02328365658185278
88,173,0.043453937856630334
212,298,0.0485609809155383
21,102,0.015052608955416824
125,222,0.04297025626632665
157,225,0.03915257619568564
114,167,0.042510027448978416
0,222,0.043762539658584766
67,138,0.030476209769831036
89,107,0.037726899390504116
117,244,0.02098411546243699
178,259,0.013867452564140395
28,181,0.03983569640640801
108,151,0.033176906989358435
57,157,0.03887141012368503
3,138,0.004474740392852809
158,277,0.028091110663045187
44,254,0.02381482229343639
212,255,0.01965555958267249
45,163,0.02332671509343053
48,276,0.04288331395256257
197,290,0.030891335827080767
0,221,0.03816111342500084
100,113,0.0260202489958601
34,281,0.03718219847873547
105,286,0.02279757885620256
139,156,0.041858011915625874
93,112,0.012792981898760086
162,209,0.04374262716888863
117,252,0.022420871660628058
16,124,0.01839625525761727
222,312,0.009214726731822075
153,212,0.04558905330764537
252,298,0.03816562195868348
137,148,0.024204244313251383
117,240,0.04592163791486169
93,249,0.0300222292439799
174,183,0.049368791536916
73,293,0.043886429135061335
97,302,0.022204256360589585
69,197,0.03603661516414725
255,312,0.03989402868386902
193,243,0.010818452003274765
205,209,0.02818921544676598
20,206,0.047787415761839466
52,142,0.026033455972097053
18,186,0.040073053722608554
62,298,0.048058486264803545
138,212,0.022231250517010907
124,309,0.03803529080446
19,315,0.01973023239618128
169,258,0.017050815565103957
5,172,0.04098788102988726
97,130,0.027690398853619087
177,204,0.04516389348285593
103,155,0.044308017797054504
58,178,0.04605918689732847
138,196,0.0157907605804571
245,303,0.039416740956604766
58,180,0.03883744645320285
39,235,0.031063903119698272
67,222,0.03889419416522531
259,279,0.013007959388073314
117,205,0.01859691825450952
84,186,0.021963020029395652
25,274,0.030020129459569198
63,170,0.03891401035471316
241,298,0.024606418195923425
176,308,0.04874843281976119
156,193,0.02956251321167922
220,294,0.04655685397641803
222,289,0.010746180232029928
22,130,0.016020580423018804
213,298,0.043984021220325666
30,53,0.025508384781119366
122,290,0.01279299466103299
71,229,0.007599197381795071
122,155,0.01804431127854888
41,68,0.032524907327248685
237,319,0.04559698467878876
74,169,0.04624827837557687
62,169,0.02372085924060487
107,173,0.03925342362159188
1,132,0.02975470014575301
244,252,0.03990427271453385
74,264,0.023660342732351677
68,189,0.03854496796506394
70,290,0.04657114580627593
251,259,0.004986436490202964
101,129,0.027923101174408983
231,284,0.024215669330471395
49,298,0.047962728582092315
25,70,0.007212302214755046
130,298,0.018132714987547746
232,245,0.04644766857268582
4,233,0.0231153810761984
228,304,0.0205900230366187
3,255,0.03106389076986266
82,138,0.03981776256594102
208,252,0.043463827502280984
62,243,0.03171275273899813
5,280,0.043141371675909326
239,261,0.047880513666895025
13,182,0.024827300157437733
45,205,0.03925347969387937
13,126,0.04634739245839617
180,289,0.029036340826996552
112,249,0.030760888234470467
136,265,0.0445375839860674
193,304,0.009420000590746715
21,204,0.02979691946472024
74,164,0.013016714379725887
298,301,0.04202455382936992
177,180,0.044812403267177184
162,240,0.03407387643419299
256,275,0.02366037798269921
49,289,0.007052215600969913
132,293,0.029826345096205367
105,125,0.019687841554064084
41,85,0.01845837190869529
56,157,0.01836540938949496
3,82,0.04420012201532983
113,120,0.029037277455345182
99,273,0.03940083201382134
157,311,0.03005490296468061
67,180,0.024066007765874864
243,258,0.03985498505513073
14,52,0.0209667241645108
117,197,0.04372641143210908
75,297,0.04701944989402663
151,155,0.04559513808604006
199,308,0.018989159633457625
24,266,0.03983790778994656
122,208,0.04406812289678097
183,188,0.04391878989062387
78,184,0.04237261721464569
155,244,0.027734889304763543
120,276,0.01983198290484396
238,252,0.0392797435439345
212,289,0.002002572821195036
153,163,0.012717358072599234
183,291,0.042842404337765094
105,312,0.032156376838137796
40,187,0.034919080578950816
146,194,0.03873609219555945
209,240,0.01017147518937564
164,221,0.04969310155050007
45,298,0.02719728033019175
23,147,0.03989402064524408
19,74,0.0457606159527436
30,176,0.03417566575535318
231,293,0.008225315322613355
65,111,0.012056533011584847
175,220,0.02904316995901852
19,156,0.021598894320972513
105,212,0.011641410231001108
60,308,0.03439769126045413
90,91,0.007052229200560453
205,252,0.03935053199441774
126,285,0.04680569179773958
30,50,0.009854179909293577
140,307,0.03526341343180911
270,307,0.027795310518953283
138,204,0.012964731281366937
133,309,0.02474112899064566
49,222,0.004239120388401458
271,288,0.029054651800224804
70,198,0.017852638147539443
22,240,0.03518162322754861
23,143,0.041867931856841345
103,316,0.029105251935147944
193,258,0.04810262353550491
199,263,0.02841968220418548
1,73,0.03672434702285065
172,250,0.04246586602956679
199,239,0.015268845612626975
147,242,0.028938408570368033
175,294,0.017856051366150403
189,285,0.024374158299660928
191,265,0.047846115791217995
152,231,0.0285754851194457
282,288,0.03683634622391284
213,267,0.035805904198168856
176,292,0.039416714903096575
183,311,0.03303678533457796
253,274,0.03409749430678735
49,196,0.010449615845611398
151,274,0.038781814704035494
125,289,0.03239836631941435
5,316,0.04909477509996526
106,296,0.028035939453362246
176,199,0.035604605284885765
191,280,0.0494939725868068
3,278,0.040753471997484886
26,57,0.037607567004665526
58,247,0.048595698287595315
26,311,0.037676164298361646
133,291,0.04206561411169562
22,228,0.04796320522000767
29,262,0.04285845246526294
67,196,0.03951905007674806
148,262,0.037726969885423976
14,137,0.03279968968506625
41,182,0.03823620718351791
54,300,0.011151911176341138
130,222,0.03414170867525361
32,308,0.0429640601493427
0,153,0.0390626556762556
68,85,0.04881934329070058
69,316,0.03170206383878611
70,274,0.024454026130913735
11,218,0.03632333266317528
7,153,0.028189214970372564
203,287,0.03966763467122943
21,251,0.04275880815938054
120,200,0.04614601483575541
44,98,0.011412598117647148
79,169,0.027199063892202033
28,176,0.04913779249732839
18,47,0.03617894956983094
35,55,0.03539686630428371
57,311,0.02907619929741152
201,218,0.04813828068631929
96,161,0.04553358258777766
33,242,0.033211129679501815
32,239,0.04735052085800352
26,225,0.02762726949305473
122,298,0.03671770762627166
154,316,0.042987691575401284
172,191,0.04297026732628596
172,279,0.045724009753245434
153,258,0.04516388053159299
14,54,0.045440805108927985
97,209,0.04139814895650483
147,247,0.04743794082952418
7,49,0.03393456660669529
200,268,0.03120385017882279
158,310,0.043106292225980156
106,319,0.028194417599023594
49,102,0.04732111017270242
0,63,0.04520095081364137
15,176,0.04908785896457243
163,193,0.03262472760638563
40,296,0.017738294265867552
67,125,0.022118891262694364
142,225,0.04427773730628291
8,138,0.04876938686307314
7,45,0.038375400196665764
121,239,0.024217113325660865
88,112,0.014130382504879847
52,146,0.04527968274686729
115,120,0.04016842177315677
301,316,0.015987736519563398
137,142,0.0014130409850785096
5,27,0.03940078057606247
21,259,0.04441208305937601
85,230,0.03478517643773651
68,165,0.03789499235987413
45,209,0.011186848935545215
73,113,0.0064021135623351525
264,315,0.045283793804272915
63,147,0.030229813755644153
7,97,0.02119559904930311
79,209,0.03617888514697016
136,238,0.03617410953173231
149,287,0.03933186962655427
25,267,0.01524039323755905
147,212,0.046743196503830436
26,54,0.04706046140230129
261,275,0.018396266911854284
102,178,0.019941930477561567
91,186,0.037681205064751325
253,316,0.04169771147665209
249,276,0.04264907880162216
0,312,0.0349242223816551
76,156,0.033948508149347044
82,204,0.03326965494036056
25,205,0.04311654270828608
88,152,0.04999803973226912
123,259,0.015241336968306509
36,96,0.008072365052347378
7,33,0.024454034567562736
303,314,0.04865400123364181
62,79,0.040727176708471105
19,139,0.049147536027735
25,154,0.012717356007080974
74,193,0.03837153009399643
145,166,0.04287096956946531
8,15,0.048258270624197665
186,320,0.018270525884816265
198,267,0.018422482638916476
1,284,0.03794405511489508
76,164,0.03242566177016808
130,241,0.042094621185407084
153,247,0.04345398669914083
22,221,0.04620717707902151
68,134,0.020088001927273186
47,201,0.03485323550752147
118,245,0.016121925932337525
33,255,0.04451920441464394
205,258,0.03478525345900589
7,193,0.047140260685467825
153,222,0.03761779045963505
20,299,0.049222126740584855
70,79,0.04987934743800481
63,139,0.043925811636059284
22,45,0.018422487409612043
0,97,0.036103302210732054
245,261,0.022787033130743123
131,307,0.012031617507887917
92,233,0.014158763340220685
3,196,0.012059631661138263
114,133,0.040412274250866694
265,286,0.03810100948045272
258,304,0.04419290625924277
152,293,0.036688045068810474
22,196,0.026896920517022718
89,166,0.009972856260534959
123,286,0.0332643705926996
174,188,0.012034431605675527
241,290,0.03557090195798396
75,185,0.02060690705601195
102,289,0.04040332510499494
60,199,0.047940185626650755
68,230,0.018050444717741847
88,249,0.04476507287347801
109,282,0.015243005191006999
122,252,0.010171476886422904
33,196,0.011412585341834307
163,240,0.028195902411103146
225,262,0.04400418359934516
58,82,0.041255826873324096
191,238,0.04688343031718272
3,21,0.04076132177882623
88,93,0.020045523189121183
103,154,0.0484781848937582
28,32,0.04127038343199047
21,123,0.04922401016843128
27,241,0.01697063065448353
57,124,0.024068877266092678
144,245,0.011016003659364159
209,298,0.024142527285662827
56,225,0.045662683448208556
5,290,0.04016845338291889
120,284,0.049930446565444625
152,284,0.04620909286411173
