source,target,DISTANCE
1,3,0.057788967794395074
7,15,0.010415064963082334
9,14,0.018324198899220635
2,6,0.07505446343790473
5,8,0.021051035730179028
8,9,0.029714139551411292
5,13,0.05164050084208498
0,9,0.03959749197079209
5,9,0.047875789163641394
7,10,0.006310547540517666
11,15,0.13343076447830324
6,12,0.03441954767408447
0,5,0.01115828922282827
10,15,0.01598820191589765
1,4,0.022435260571345716
8,14,0.04745605654214834
4,14,0.038956885453653285
0,8,0.018365910249985847
