source,target,DISTANCE
31,312,0.04166543162477995
1062,1231,0.048391987952698785
98,236,0.04701429275937594
1045,1188,0.028488312641812126
400,930,0.015269137846019184
299,1118,0.0481331278504116
330,335,0.035874924107186214
578,1068,0.0441674508066957
265,1325,0.036095598307107034
891,1211,0.049606191019078275
1056,1060,0.020220104293882487
1126,1346,0.04987811175034295
212,221,0.043926784690723863
1125,1481,0.031798111705311105
682,1307,0.010416406537915241
1134,1311,0.04673151332729963
906,1434,0.030392146990225483
458,932,0.04241911641107199
207,686,0.045722208017162765
181,1171,0.04468956509197605
587,1079,0.01167955231003449
548,1335,0.04297577646088289
742,1118,0.04510244305536584
363,1267,0.04020655056278856
1033,1172,0.03818483067683793
933,1227,0.013019720964372003
406,408,0.04958379290090961
574,1115,0.032180452571848775
1426,1447,0.04879201944875894
228,256,0.03313021053145707
396,413,0.04224536304040634
234,1033,0.04460876877570913
231,1478,0.04415969767967306
245,1234,0.04369099061895647
1167,1332,0.047911723870429884
405,414,0.04374378442007594
774,1070,0.04402698433298084
411,1189,0.022779142524851605
427,1452,0.01554745242380058
720,1065,0.04410215999013367
1263,1297,0.04980141736809836
885,1006,0.042621188947601876
82,760,0.03451762895496758
152,590,0.03245605918860364
528,841,0.0391263879259142
585,823,0.04790843117992263
82,155,0.03323961358191305
476,733,0.034624681672618854
458,926,0.011389541948671153
537,657,0.036690959982681806
681,1080,0.04874234963426357
791,1362,0.03523250227890731
97,1119,0.028291207934215728
719,1245,0.024606970233174152
1048,1353,0.03798442912665538
227,340,0.03132129152873785
259,367,0.023024989560376886
335,596,0.04641026154025037
304,1355,0.021403418066997644
13,18,0.034374909938188494
270,1236,0.020805948196133423
1220,1228,0.0185749553495628
803,1341,0.04938507855163516
550,878,0.048155118730931736
420,983,0.0135989176407984
502,1346,0.02454441381677722
685,1160,0.015787673047861626
747,1291,0.014198895634013296
428,455,0.04969020550538324
424,448,0.0176769433448207
1034,1134,0.025949628655146058
1204,1218,0.0441030129545747
1109,1382,0.03841022848790704
364,376,0.025012735460842997
1361,1416,0.049931678623935535
278,1376,0.017462564566425684
502,1304,0.04055569944621811
113,1284,0.018396724222358708
122,1231,0.039945707065552234
129,1157,0.04607469666417332
229,1046,0.047175681337817195
937,1434,0.04028165237707054
79,1046,0.03534957837188244
511,555,0.04469559269295834
657,1273,0.049865493853889574
251,1026,0.025897187456994878
350,772,0.04813292617646107
723,1115,0.02506725888104038
784,1045,0.041603366164343125
1270,1318,0.03804964262019435
406,911,0.022609193408578674
1342,1365,0.03456824131502945
23,460,0.044167348118199175
293,558,0.0455842602873832
509,701,0.0367812292314089
533,745,0.02694591028781747
401,410,0.020607432987736454
571,739,0.026338904947558174
74,1353,0.03417496234126904
141,240,0.021885744429911064
529,722,0.01820195451145994
94,381,0.03394943647576757
112,1095,0.014334686955550074
917,934,0.030185295744491806
1027,1185,0.025647719490576572
1245,1311,0.037169644485818706
301,308,0.04336874900132329
80,1379,0.042896427496134516
246,774,0.04063622319553687
